# AlloCiné ID,IMDb ID,BetaSeries ID,SensCritique ID
19618,tt4941240,star,Star/21263183
19619,tt4181172,shooter-2016,Shooter/21276355
19620,tt4687882,patriot-2017,American_Patriot/25091331
19639,tt4938700,im-dying-up-here,I_m_Dying_Up_Here/24382973
19647,tt4955642,the-good-place,The_Good_Place/21266023
19648,tt4955480,great-news,Great_News/23445729
19655,tt2929018,chica-vampiro,Chica_Vampiro/17353371
19665,tt3582458,acquitted,Acquitted/17753359
19666,tt5296536,bloques,Bloques/16961028
19667,tt5014882,the-durrells,La_Folle_Aventure_des_Durrell/19925725
19690,tt5149528,one-of-us,Retribution/22417744
19713,tt5511582,timeless-2016,Timeless/21264946
19715,tt5511512,trial-error,Trial_Error/23445849
19733,tt4386224,la-stagiaire,La_Stagiaire/19074551
19734,tt6082710,loin-de-chez-nous,Loin_de_chez_nous/22622589
19743,tt4971144,greenleaf,Greenleaf/19564161
19744,tt6303080,cannabis,Cannabis/23431069
19765,tt3280150,the-saboteurs,The_Saboteurs/17045999
19778,tt5057054,jack-ryan,Jack_Ryan/17546224
19785,tt4276618,the-strike-series,C_B_Strike/27213943
19786,tt5057130,medici-masters-of-florence,Les_Medicis_Maitres_de_Florence/21965526
19792,tt5071412,ozark,Ozark/19645526
19804,tt4378376,babylon-berlin,Babylon_Berlin/24786239
19815,tt4797212,madiba,Il_s_appelait_Mandela/24257019
19816,tt1399045,macgyver-2016,Mac_Gyver/21513067
19817,tt5164196,lethal-weapon,L_Arme_fatale/21266009
19820,tt7197684,suburra,Suburra/28002157
19830,tt5097050,chewing-gum,Chewing_Gum/17623390
19853,tt5192260,la-main-du-mal,La_Main_du_Mal/23244380
19873,tt5114356,legion,Legion/21413934
19874,tt3850470,la-petite-histoire-de-france,La_Petite_Histoire_de_France/18339126
19892,tt5520392,shut-eye,Shut_Eye/21082950
19899,tt5684214,capitaine-marleau,Capitaine_Marleau/22597329
19900,tt2580046,miraculous,Miraculous_les_aventures_de_Ladybug_et_Chat_Noir/17814795
19901,tt4598136,cassandre,Cassandre/21916926
19904,tt4832070,contact,Contact/18568899
19929,tt5303668,intersection,Intersection/19666217
19930,tt5337806,charite,Charite/25124361
19941,tt1837492,13-reasons-why,13_Reasons_Why/24609343
19946,tt3909224,the-seven-deadly-sins,Seven_Deadly_Sins/16521014
19949,tt5171438,star-trek-discovery,Star_Trek_Discovery/23244424
19953,tt5460226,search-party-2016,Search_Party/22976525
19954,tt5607976,his-dark-materials,His_Dark_Materials_A_la_croisee_des_mondes/17971201
19955,tt5197820,van-helsing,Van_Helsing/19852656
19958,tt5671218,la-vengeance-aux-yeux-clairs,La_vengeance_aux_yeux_clairs/22425066
19962,tt3741634,tokyo-ghoul,Tokyo_Ghoul/16538386
19970,tt6682754,jean-claude-van-johnson,Jean_Claude_Van_Johnson/22451424
19976,tt3390892,the-last-tycoon,Le_Dernier_Seigneur/26019221
19982,tt6156584,snowpiercer,Snowpiercer/18064761
19992,tt5555260,this-is-us,This_Is_Us/21265095
19998,tt4686698,frontier-2016,Frontier/16990250
20011,tt5210998,dead-of-summer,Dead_of_Summer/20235386
20012,tt5715524,mayans-mc,Mayans_M_C/37736306
20034,tt4578474,famous-in-love,Famous_in_Love/22453279
20036,tt4148744,pj-masks,Les_Pyjamasques/17416076
20039,tt4600404,modus,Modus/17770489
20042,tt5189670,making-a-murderer,Making_a_Murderer/18252695
20062,tt6402362,hard-sun,Hard_Sun/28851277
20073,tt5257744,american-gothic-2016,American_Gothic/19938945
20085,tt5595238,tandem,Tandem/19981440
20098,tt5296406,designated-survivor,Designated_Survivor/20167326
